______________________________
|          t |            Vy |
|   0.175352 |  2.560929e-05 |
|   0.176402 | -2.596915e-06 |
|   0.177452 |  1.741109e-05 |
|   0.178502 | -2.088623e-05 |
|   0.179552 | -1.247735e-05 |
|   0.180602 | -8.531736e-06 |
|   0.181652 |  6.087050e-06 |
|   0.182702 |  7.085912e-06 |
|   0.183752 | -1.415606e-05 |
|   0.184802 |  3.205550e-06 |
|   0.185852 |  8.262336e-06 |
|   0.186902 | -8.754420e-06 |
|   0.187952 | -2.449586e-05 |
|   0.189002 | -1.905074e-05 |
|   0.190052 |  8.611710e-06 |
|   0.191102 | -3.191837e-06 |
|   0.192152 | -1.951310e-05 |
|   0.193202 | -2.887476e-07 |
|   0.194252 | -4.031886e-06 |
|   0.195302 | -5.830297e-06 |
|   0.196352 | -1.170013e-05 |
|   0.197402 |  2.353420e-06 |
|   0.198452 | -1.360456e-07 |
|   0.199502 | -2.503950e-05 |
|   0.200552 | -1.499104e-05 |
|   0.201602 |  5.835128e-06 |
|   0.202652 |  2.118148e-05 |
|   0.203702 |  2.042322e-05 |
|   0.204752 | -9.202893e-06 |
|   0.205802 | -4.601008e-06 |
|   0.206852 |  1.200593e-05 |
|   0.207902 |  2.500449e-07 |
|   0.208952 |  8.716007e-07 |
|   0.210002 |  1.818100e-05 |
|   0.211052 |  1.795136e-05 |
|   0.212102 |  1.562960e-05 |
|   0.213152 | -2.924707e-06 |
|   0.214202 | -4.465766e-06 |
|   0.215252 | -6.666611e-06 |
|   0.216302 |  4.723388e-07 |
|   0.217352 |  1.243947e-06 |
|   0.218402 |  2.099919e-05 |
|   0.219452 |  1.681996e-05 |
|   0.220502 | -6.101998e-06 |
|   0.221552 | -1.672993e-05 |
|   0.222602 | -4.663414e-06 |
|   0.223652 | -1.890991e-05 |
|   0.224702 | -1.990917e-06 |
|   0.225752 | -8.716252e-06 |
|   0.226802 | -1.172326e-05 |
|   0.227852 |  1.835881e-05 |
|   0.228902 | -9.263323e-06 |
|   0.229952 |  5.997457e-06 |
|   0.231002 |  2.129277e-05 |
|   0.232052 | -2.011315e-05 |
|   0.233102 | -4.212313e-06 |
|   0.234152 |  8.190536e-06 |
|   0.235202 |  2.398197e-05 |
|   0.236252 |  2.391343e-07 |
|   0.237302 |  1.928992e-05 |
|   0.238352 |  1.182429e-05 |
|   0.239402 |  1.146332e-05 |
|   0.240452 | -3.338631e-05 |
|   0.241502 | -1.209946e-05 |
|   0.242552 | -4.428049e-06 |
|   0.243602 |  1.372731e-05 |
|   0.244652 |  1.414585e-05 |
|   0.245702 |  8.296166e-08 |
|   0.246752 |  2.707221e-06 |
|   0.247802 | -2.776395e-05 |
|   0.248852 |  3.362350e-06 |
|   0.249902 |  2.773267e-05 |
|   0.250953 | -1.317124e-05 |
|   0.252003 |  2.537695e-05 |
|   0.253053 | -6.909077e-06 |
|   0.254103 | -9.768231e-06 |
|   0.255153 |  8.873370e-06 |
|   0.256203 | -8.317242e-06 |
|   0.257253 | -1.299042e-05 |
|   0.258303 | -2.004483e-05 |
|   0.259353 |  4.789485e-07 |
|   0.260403 | -2.338195e-05 |
|   0.261453 | -1.507237e-05 |
|   0.262503 |  1.668207e-06 |
|   0.263553 |  1.227210e-05 |
|   0.264603 |  5.108879e-06 |
|   0.265653 | -1.197469e-05 |
|   0.266703 | -7.784466e-06 |
|   0.267753 | -1.526638e-06 |
|   0.268803 | -8.136008e-06 |
|   0.269853 | -9.040442e-07 |
|   0.270903 | -8.064517e-06 |
|   0.271953 | -1.870159e-05 |
|   0.273003 | -1.654007e-05 |
|   0.274053 | -6.807947e-06 |
|   0.275103 |  2.057829e-05 |
|   0.276153 |  1.509017e-05 |
|   0.277203 |  2.569519e-05 |
|   0.278253 | -1.673880e-05 |
|   0.279303 |  3.319746e-07 |
|   0.280353 |  1.426213e-05 |
|   0.281403 | -3.613140e-06 |
|   0.282453 |  1.714197e-05 |
|   0.283503 |  3.405434e-05 |
|   0.284553 |  1.349936e-06 |
|   0.285603 |  2.450188e-06 |
|   0.286653 |  1.918867e-05 |
|   0.287703 |  1.493936e-05 |
|   0.288753 | -2.216470e-05 |
|   0.289803 |  5.894508e-06 |
|   0.290853 |  9.155034e-06 |
|   0.291903 |  1.168945e-05 |
|   0.292953 | -7.151048e-06 |
|   0.294003 | -1.242235e-05 |
|   0.295053 |  7.716347e-06 |
|   0.296103 | -7.553598e-06 |
|   0.297153 |  8.891284e-06 |
|   0.298203 |  3.230346e-06 |
|   0.299253 |  3.598506e-06 |
|   0.300303 |  1.252739e-05 |
|   0.301353 | -9.486630e-08 |
|   0.302403 | -1.907785e-06 |
|   0.303453 | -1.552029e-05 |
|   0.304503 | -7.400317e-07 |
|   0.305553 |  9.749955e-06 |
|   0.306603 |  1.273881e-05 |
|   0.307653 |  1.474844e-06 |
|   0.308703 | -7.530868e-06 |
|   0.309753 |  3.284920e-06 |
|   0.310803 |  1.263261e-05 |
|   0.311853 | -1.644946e-06 |
|   0.312903 |  7.442511e-06 |
|   0.313953 | -1.182928e-06 |
|   0.315003 |  2.338964e-07 |
|   0.316053 | -5.123210e-07 |
|   0.317103 | -8.080988e-06 |
|   0.318153 | -2.042516e-05 |
|   0.319203 | -1.252369e-05 |
|   0.320253 |  4.009859e-06 |
|   0.321303 |  9.514840e-06 |
|   0.322353 | -3.117878e-05 |
|   0.323403 |  1.937741e-06 |
|   0.324453 | -1.146593e-06 |
|   0.325503 |  5.608390e-06 |
|   0.326553 |  8.944620e-06 |
|   0.327603 |  3.072828e-07 |
|   0.328653 |  2.057321e-05 |
|   0.329703 | -8.418794e-07 |
|   0.330753 |  4.286434e-06 |
|   0.331803 | -1.667468e-05 |
|   0.332853 |  8.162724e-06 |
|   0.333903 |  1.335401e-05 |
|   0.334953 | -2.130978e-05 |
|   0.336003 |  5.075007e-07 |
|   0.337053 |  6.630297e-06 |
|   0.338103 |  1.581052e-05 |
|   0.339153 |  9.397918e-06 |
|   0.340203 |  2.715589e-06 |
|   0.341253 | -3.321215e-05 |
|   0.342303 |  1.545633e-06 |
|   0.343353 | -7.073623e-06 |
|   0.344403 |  3.603503e-06 |
|   0.345453 | -1.126401e-05 |
|   0.346503 | -1.533194e-06 |
|   0.347553 | -1.342323e-05 |
|   0.348603 | -1.552533e-05 |
|   0.349653 | -5.524329e-06 |
|   0.350704 |  2.094973e-05 |
|   0.351754 |  2.371842e-05 |
|   0.352804 |  9.423590e-06 |
|   0.353854 | -5.073433e-06 |
|   0.354904 | -1.436410e-05 |
|   0.355954 | -1.231589e-05 |
|   0.357004 |  1.294773e-05 |
|   0.358054 |  5.522451e-06 |
|   0.359104 |  9.127489e-06 |
|   0.360154 |  3.744592e-06 |
|   0.361204 |  1.774549e-05 |
|   0.362254 | -6.896488e-06 |
|   0.363304 |  1.222921e-05 |
|   0.364354 | -2.136173e-05 |
|   0.365404 | -3.276970e-06 |
|   0.366454 |  4.743181e-06 |
|   0.367504 |  5.946848e-06 |
|   0.368554 |  9.117213e-06 |
|   0.369604 | -1.525162e-05 |
|   0.370654 | -1.073116e-05 |
|   0.371704 | -1.149628e-05 |
|   0.372754 |  1.687571e-07 |
|   0.373804 |  1.684478e-06 |
|   0.374854 |  4.001094e-06 |
|   0.375904 | -2.291209e-05 |
|   0.376954 |  1.426835e-06 |
|   0.378004 |  4.445072e-06 |
|   0.379054 |  4.669500e-06 |
|   0.380104 |  2.648942e-06 |
|   0.381154 | -5.360535e-06 |
|   0.382204 |  2.304602e-06 |
|   0.383254 | -2.959640e-06 |
|   0.384304 | -4.681079e-06 |
|   0.385354 |  2.307000e-05 |
|   0.386404 | -3.793171e-06 |
|   0.387454 |  2.887167e-06 |
|   0.388504 |  4.031301e-06 |
|   0.389554 | -4.021975e-06 |
|   0.390604 | -3.918712e-07 |
|   0.391654 |  2.150727e-05 |
|   0.392704 | -1.799471e-05 |
|   0.393754 | -1.310566e-05 |
|   0.394804 | -1.316448e-05 |
|   0.395854 |  2.229478e-05 |
|   0.396904 | -3.691262e-06 |
|   0.397954 | -7.316384e-06 |
|   0.399004 | -1.215613e-05 |
|   0.400054 |  1.841178e-05 |
|   0.401104 | -4.758716e-06 |
|   0.402154 |  4.373371e-06 |
|   0.403204 | -1.494593e-05 |
|   0.404254 |  1.385234e-05 |
|   0.405304 |  1.675349e-05 |
|   0.406354 |  6.482462e-06 |
|   0.407404 |  1.577553e-06 |
|   0.408454 |  2.086081e-06 |
|   0.409504 |  9.911100e-06 |
|   0.410554 | -7.730445e-06 |
|   0.411604 | -8.980653e-07 |
|   0.412654 |  2.293177e-06 |
|   0.413704 | -2.602957e-05 |
|   0.414754 | -2.105975e-05 |
|   0.415804 | -7.675058e-06 |
|   0.416854 |  1.305657e-05 |
|   0.417904 |  2.123208e-05 |
|   0.418954 |  2.114689e-05 |
|   0.420004 |  3.110230e-06 |
|   0.421054 |  1.453221e-05 |
|   0.422104 |  2.906010e-06 |
|   0.423154 |  1.852137e-05 |
|   0.424204 | -6.183214e-06 |
|   0.425254 | -9.844547e-06 |
|   0.426304 | -7.031093e-06 |
|   0.427354 | -2.935222e-06 |
|   0.428404 | -6.813589e-06 |
|   0.429454 |  1.344519e-05 |
|   0.430504 |  8.734926e-06 |
|   0.431554 |  5.548891e-06 |
|   0.432604 |  6.190422e-06 |
|   0.433654 | -1.779112e-06 |
|   0.434704 | -7.129450e-06 |
|   0.435754 |  1.272158e-05 |
|   0.436804 | -1.305749e-05 |
|   0.437854 |  1.585126e-05 |
|   0.438904 |  4.020390e-06 |
|   0.439954 | -1.042084e-06 |
|   0.441004 | -3.424944e-07 |
|   0.442054 | -9.340751e-06 |
|   0.443104 | -2.623121e-05 |
|   0.444154 |  6.975023e-06 |
|   0.445204 | -1.316480e-05 |
|   0.446254 |  3.095490e-06 |
|   0.447304 |  8.214408e-06 |
|   0.448354 |  1.768703e-06 |
|   0.449404 |  2.426263e-05 |
|   0.450455 |  4.759421e-06 |
|   0.451505 | -1.534729e-05 |
|   0.452555 | -2.340436e-05 |
|   0.453605 | -1.901288e-06 |
|   0.454655 |  5.741964e-07 |
|   0.455705 | -1.889874e-05 |
|   0.456755 | -9.962456e-07 |
|   0.457805 | -1.451910e-05 |
|   0.458855 |  6.379404e-06 |
|   0.459905 |  7.504448e-06 |
|   0.460955 |  1.592799e-05 |
|   0.462005 | -1.539174e-05 |
|   0.463055 | -1.056073e-05 |
|   0.464105 | -2.721148e-05 |
|   0.465155 | -2.825851e-05 |
|   0.466205 |  1.629553e-05 |
|   0.467255 | -6.957740e-06 |
|   0.468305 | -1.536862e-06 |
|   0.469355 | -2.118902e-05 |
|   0.470405 |  1.910718e-05 |
|   0.471455 |  3.657154e-06 |
|   0.472505 |  5.499071e-06 |
|   0.473555 |  1.301730e-05 |
|   0.474605 |  2.736384e-06 |
|   0.475655 |  2.441709e-06 |
|   0.476705 |  1.684240e-05 |
|   0.477755 |  1.414953e-06 |
|   0.478805 | -3.687444e-05 |
|   0.479855 | -3.132160e-06 |
|   0.480905 | -3.073955e-06 |
|   0.481955 | -1.474721e-05 |
|   0.483005 |  6.416017e-07 |
